                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9849,                 3.5597,                 2.9397,                0.00143,                0.42857,                0.00267,                0.00079,                  3.169,                 9.3743,                 3.4073,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.2015,                 4.0883,                  3.142,                0.00148,                0.42857,                0.00563,                0.00132,                 2.5748,                 8.4345,                 2.7841,             0.00013723,             0.00013723,             0.00013723
                      3,                 2.7588,                 3.3951,                 2.9053,                 0.0019,                0.57143,                0.00573,                0.00167,                 3.0176,                 5.7282,                 2.9581,             0.00021129,             0.00021129,             0.00021129
                      4,                 2.8295,                 3.2229,                 2.8101,                0.00341,                0.71429,                0.02926,                0.01488,                 2.6086,                 4.9676,                 2.9181,             0.00028218,             0.00028218,             0.00028218
                      5,                 2.3829,                 2.9215,                 2.4949,                  0.043,                0.14286,                0.05192,                0.02224,                  2.701,                 4.9086,                 3.1094,              0.0003499,              0.0003499,              0.0003499
                      6,                  2.266,                 3.2047,                 2.5111,                0.22899,                0.14286,                0.06159,                0.02056,                 2.8884,                 4.9339,                 3.1962,             0.00041446,             0.00041446,             0.00041446
                      7,                 2.3329,                 2.6385,                  2.343,                0.18955,                0.14286,                0.04837,                 0.0202,                 2.7898,                 4.7489,                 3.1438,             0.00047585,             0.00047585,             0.00047585
                      8,                 2.1382,                 2.8838,                  2.268,                0.25799,                0.14286,                0.06137,                0.02611,                 2.8983,                 3.9696,                 3.1492,             0.00053407,             0.00053407,             0.00053407
                      9,                 2.2466,                 3.1079,                 2.5171,                0.06014,                0.57143,                0.09917,                0.03252,                  2.618,                 3.4624,                 2.8905,             0.00058912,             0.00058912,             0.00058912
                     10,                 2.0918,                 2.6739,                 2.1826,                0.00286,                0.85714,                0.17769,                0.06865,                 2.1461,                 3.6326,                 2.7386,               0.000641,               0.000641,               0.000641
                     11,                 1.7288,                 2.1021,                 1.9874,                0.47067,                0.28571,                0.39283,                 0.1572,                 2.2646,                 3.3621,                  2.788,             0.00068972,             0.00068972,             0.00068972
                     12,                 2.3543,                 2.6834,                 2.4938,                0.96869,                0.28571,                0.40575,                  0.151,                 2.3478,                 3.2802,                 2.6518,             0.00073527,             0.00073527,             0.00073527
                     13,                  1.859,                 2.2634,                 2.0422,                0.74889,                0.42667,                 0.4388,                0.21659,                 2.3017,                 2.8834,                 2.6127,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.7191,                 2.1672,                 1.9419,                0.94846,                0.42857,                0.46158,                0.22061,                 2.3977,                  2.899,                 2.7662,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.2075,                 2.6458,                 2.2822,                0.55838,                0.19289,                0.36141,                0.16702,                 2.4911,                 3.1711,                 2.8571,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.9644,                 2.0726,                 2.0205,                0.27213,                0.14286,                 0.1848,                0.07966,                 2.4038,                 3.3064,                 2.7229,             0.00088578,             0.00088578,             0.00088578
                     17,                 2.1684,                 3.0691,                 2.0771,                0.36895,                0.28571,                0.22618,                0.08826,                 2.1986,                  3.138,                 2.4312,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.4897,                 1.7825,                 1.8147,                0.84748,                0.28571,                0.41179,                0.16676,                 2.2339,                 3.2455,                 2.3227,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.6833,                 2.0119,                 1.9686,                0.65718,                0.27759,                 0.3475,                0.13687,                 2.2175,                 3.2962,                 2.3396,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.7756,                 1.9156,                  1.971,                0.30227,                0.42857,                0.31012,                0.13607,                 2.3549,                 3.1964,                 2.4872,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.6421,                 1.8748,                 1.7571,                0.91714,                0.14286,                0.26661,                0.13271,                 2.1061,                  2.897,                 2.4085,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.8451,                 2.1661,                 2.0097,                0.20415,                0.42857,                0.28289,                0.15266,                 2.0806,                 2.8476,                 2.2852,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.7449,                 2.1083,                 1.9769,                0.23465,                0.42857,                0.27817,                0.16382,                 2.0785,                  2.867,                 2.3478,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.9131,                 2.0998,                 2.1953,                0.27079,                0.42857,                0.28102,                 0.1557,                 2.1006,                 2.7744,                 2.4763,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.7563,                 1.9141,                 2.0791,                0.31511,                0.28571,                0.24636,                0.13849,                 2.0283,                  2.777,                 2.4699,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.4679,                 1.5634,                 1.8071,                0.31979,                0.28571,                0.31728,                0.16307,                 1.9248,                 2.5657,                 2.3409,                0.00101,                0.00101,                0.00101
                     27,                 1.3375,                 1.5312,                  1.656,                0.62281,                0.28571,                0.31664,                0.16179,                 1.9113,                 2.4196,                 2.3436,                0.00101,                0.00101,                0.00101
                     28,                 1.4851,                 1.6688,                 1.7072,                0.61235,                0.28571,                0.33313,                0.17208,                 1.8642,                 2.5309,                   2.33,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1973,                 1.2933,                 1.4909,                0.38049,                0.28571,                0.33852,                0.18762,                  1.877,                 2.5661,                  2.345,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.2928,                 1.5557,                 1.6173,                0.39754,                0.42857,                0.32873,                 0.1922,                 2.0775,                 2.6113,                 2.4326,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.2874,                 1.3618,                 1.7262,                0.35995,                0.42857,                0.34721,                0.18787,                 2.0823,                  2.609,                 2.4066,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3823,                 1.3973,                 1.5886,                0.39646,                0.42857,                 0.3188,                0.18099,                 1.9783,                 2.5633,                 2.3844,               0.000812,               0.000812,               0.000812
                     33,                0.98302,                 2.6819,                 1.1784,                0.48685,                0.40979,                0.32886,                0.20525,                 1.9035,                 2.4467,                 2.3455,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.3025,                 1.4528,                 1.6055,                0.44123,                0.42857,                0.31872,                0.17969,                 1.8756,                 2.5341,                 2.3035,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1667,                 1.3589,                 1.4662,                0.39535,                0.42857,                0.33451,                0.21311,                 1.7413,                 2.4033,                 2.2178,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1123,                 1.3259,                 1.5256,                0.45218,                0.42857,                0.34679,                0.21369,                 1.6898,                 2.5299,                 2.1468,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.7106,                 2.7863,                 1.8032,                0.49881,                0.42857,                0.36488,                0.24304,                 1.6897,                 2.5179,                 2.0858,               0.000614,               0.000614,               0.000614
                     38,                  1.646,                  2.542,                 1.8493,                0.72692,                0.42857,                0.39058,                0.27611,                 1.6615,                 2.3696,                 2.1227,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0824,                 1.1487,                 1.4049,                0.71697,                0.42857,                0.38587,                0.24983,                 1.6783,                  2.286,                 2.1998,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1678,                 1.1949,                 1.4527,                0.74046,                0.42857,                0.39154,                0.22303,                 1.8687,                 2.1997,                 2.2738,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.6645,                 1.9977,                 2.0241,                0.41039,                0.42857,                0.32115,                0.18712,                 2.0133,                 2.2794,                 2.3662,              0.0004556,              0.0004556,              0.0004556
                     42,                0.97186,                 1.3944,                 1.3644,                0.95753,                0.28571,                0.29468,                0.18122,                 2.1299,                 2.3405,                 2.4716,               0.000416,               0.000416,               0.000416
                     43,                 1.0282,                 1.5895,                 1.3912,                      1,                0.27956,                0.29859,                 0.1811,                 2.2896,                  2.413,                 2.6266,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1177,                 1.4432,                 1.4057,                0.62114,                0.28571,                0.25669,                0.14569,                 2.2329,                 2.5422,                  2.601,              0.0003368,              0.0003368,              0.0003368
                     45,                  1.081,                 1.4463,                  1.597,                0.58861,                0.28571,                0.25256,                0.16907,                 2.2302,                 2.5286,                 2.5731,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4861,                 1.5886,                 1.9627,                0.49686,                0.28571,                0.24862,                 0.1688,                 2.2022,                 2.4289,                 2.5287,              0.0002576,              0.0002576,              0.0002576
